aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
90718115,1995,3.529,91,1,0.798,0.979,0.987
90718178,1996,3.286,110,1,0.743,0.857,0.91
90718183,1995,3,111,1,0.753,0.976,0.935
90718207,1996,2.625,83,1,0.591,0.954,0.809
90718273,1996,3.667,112,1,0.743,0.857,0.91
90718280,1995,2.357,77,1,0.77,0.907,0.856
90718303,1995,1.125,81,1,0.767,0.858,0.809
90718311,1996,1.5,91,1,0.783,0.912,0.718
90718981,1996,2.643,73,1,0.824,0.893,0.739
90719275,1995,2.571,106,1,0.881,0.947,0.82
90719937,1995,3.167,87,1,0.765,0.94,0.801
90719939,1996,3,91,1,0.866,0.932,0.948
90719972,1995,2.636,104,1,0.874,0.962,0.872
91316152,1995,2.429,77,1,0.975,0.913,0.87
91374970,1996,3.5,118,1,0.817,0.919,0.883
91374975,1996,2,107,1,0.817,0.919,0.883
91374977,1995,3.571,106,1,0.694,0.927,0.905
91500014,1992,3.867,119,1,0.988,0.928,0.922
91500119,1992,2.167,85,0,0.839,0.916,0.832
91500186,1992,3.571,107,1,0.992,0.917,0.759
91500226,1991,3.25,118,1,0.823,0.908,0.727
91500238,1991,2.417,111,1,0.794,0.966,0.832
91500373,1994,2.688,111,1,0.839,0.886,0.78
91500411,1994,3,82,1,0.796,0.873,0.817
91500977,1994,3.813,111,1,0.964,0.883,0.903
91501350,1993,1.857,115,1,0.705,0.893,0.815
91504088,1993,0.75,90,0,0.717,0.937,0.814
91504104,1993,1.462,108,1,0.737,0.912,0.672
91504224,1993,2.333,108,1,0.674,0.884,0.818
91504341,1992,2.286,71,1,0.959,0.974,0.826
91504485,1994,3.267,111,1,0.907,0.948,0.805
91504629,1991,1.857,114,1,0.855,0.847,0.773
91504686,1992,2.417,110,1,0.654,0.873,0.753
91504702,1994,3.5,93,1,0.736,0.919,0.929
91504729,1994,3.636,91,1,0.839,0.831,0.748
91504929,1994,3.643,108,1,0.674,0.884,0.818
91506146,1995,3.467,118,1,0.971,0.939,0.813
91506304,1991,3.167,112,1,0.861,0.911,0.704
91506305,1993,3.417,104,1,0.927,0.957,0.882
91506443,1995,3.167,108,1,0.858,0.914,0.877
91506894,1991,2.917,90,1,0.729,0.918,0.957
91506902,1991,1.667,100,1,0.777,0.917,0.904
91506935,1992,2.789,103,1,0.98,0.93,0.9
91506944,1992,3.25,99,1,0.916,0.925,0.878
91506955,1991,3.5,106,1,0.715,0.896,0.897
91506993,1993,3.5,78,1,0.672,0.865,0.809
91507010,1991,4,107,1,0.912,0.854,0.814
91507116,1992,3.167,110,1,0.612,0.957,0.922
91507316,1994,3.357,103,1,0.811,0.937,0.876
91507851,1991,4,116,1,0.943,0.962,0.876
91508025,1993,3.417,114,1,0.761,0.952,0.933
91508026,1993,1.556,108,1,0.926,0.926,0.909
91508123,1992,3.917,118,1,0.875,0.897,0.907
91508169,1994,2.5,93,1,0.925,0.818,0.86
91508381,1993,1.571,7,1,0.824,0.893,0.739
91508387,1992,1.286,75,1,0.697,0.706,0.728
91508526,1993,2.5,87,1,0.812,0.916,0.98
91508766,1993,2.167,115,1,0.574,0.901,0.819
91508836,1992,2.583,116,1,0.941,0.925,0.904
91508873,1992,2.273,115,1,0.828,0.853,0.843
91508948,1991,2.222,104,1,0.73,0.956,0.773
91540215,1994,1.929,100,1,0.988,0.928,0.922
91540453,1991,1.75,116,1,0.99,0.935,0.798
91540457,1993,0.462,110,1,0.941,0.934,0.958
91544201,1993,2.5,77,1,0.99,0.946,0.82
91544202,1991,2.167,118,1,0.658,0.908,0.834
